INV	this is October sixteenth, nineteen seventy six, a second visit,
FAT	do you wanna play the store first ?
CHI	yeah .
CHI	I'll sit   ...
FAT	you do  ?
CHI	yeah .
CHI	you sit in that chair .
FAT	okay .
CHI	xxx .
FAT	what ?
CHI	you haveto take off the cover .
FAT	I haveto take the cover off ?
CHI	yeah  .
FAT	okay  .
FAT	oh .
CHI	see ?
FAT	look at all that .
CHI	see  .
FAT	xxx  .
CHI	you  haveto take it all the way off though .
FAT	all the way off .
FAT	okay .
CHI	there .
FAT	there .
FAT	okay  .
CHI	okay now  .
FAT	what if we were shopping for breakfast ?
FAT	what would we want to get ?
CHI	I don't know .
CHI	you tell me .
FAT	well ...
CHI	but first we haveto get some dollars .
FAT	some dollars ?
FAT	oh .
CHI	yeah  .
FAT	okay  .
FAT	you gonna tell me about the money in here ?
CHI	yeah .
FAT	oh .
FAT	oh  .
FAT	I see  .
CHI	put the eggs  up here .
CHI	xxx .
FAT	oh .
FAT	goodness .
CHI	see ?
CHI	you take the purple , orange , . and green .
FAT	purple , orange , and green .
FAT	what other ...
CHI	yeah  .
FAT	isn't there another color here ?
FAT	what's this ?
CHI	blue .
FAT	blue .
CHI	oh  .
FAT	oh .
CHI	and in  he ...
FAT	and .
FAT	you're gonna sell me some ...
CHI	and in here we have real ...
CHI	money .
CHI	look  .
FAT	real money ?
FAT	oh .
FAT	oh .
FAT	good .
CHI	mhm .
FAT	okay .
CHI	and .
FAT	now  .
CHI	it goes  like this .
CHI	and ...
FAT	what if I wanted some tea ?
FAT	how much money would it cost to get some tea ?
CHI	eight .
CHI	hmm .
FAT	eight ?
CHI	yeah .
FAT	eight .
FAT	well .
FAT	where's the tea ?
FAT	if you're gonna sell me some tea you've gotta find the tea .
FAT	xxx coffee creamer .
FAT	do you see tea ?
CHI	that's the tea .
FAT	oh .
FAT	that's the tea in the  in the can .
FAT	right .
FAT	this is a box of tea .
FAT	xxx .
CHI	yeah .
CHI	yeah .
CHI	xxx .
FAT	whoops .
CHI	this is . the kind of mustard that you like .
FAT	really ?
CHI	mhm .
FAT	is this the kind I like ?
FAT	or is this the kind you like ?
CHI	that's the spicy kind .
FAT	spicy kind .
FAT	hmm ?
FAT	okay .
FAT	but we were gonna go . shop for some breakfast food .
FAT	right ?
FAT	I wanna  want a  I wanna  want a good cereal .
FAT	can you find a good cereal in your store for me ?
CHI	mhm .
FAT	which kind of good cereal is that ?
CHI	um there  there's drinks here too .
FAT	there're drinks too ?
CHI	you could have hotdogs .
FAT	not for breakfast .
CHI	mhm .
FAT	well .
FAT	look .
FAT	I know I want some milk .
FAT	can I have one of these ?
CHI	yeah .
FAT	how much milk is that ?
CHI	ten .
FAT	ten ?
CHI	um .
CHI	I think it's two dollars xxx  .
FAT	two dollars  for that ?
FAT	oh .
FAT	okay .
FAT	how much do I haveto give you ?
CHI	ten  .
FAT	here's   ...
CHI	ten .
FAT	ten ?
CHI	oh  oh .
CHI	maybe not .
FAT	maybe not ?
CHI	you haveto give me four or five .
FAT	here's ten .
CHI	thanks .
FAT	thanks .
FAT	okay .
